personId;scoreBaseline;scoreClosedRoads;scoreWTime
8820240;-37.135;-56.65833333333333;-36.76833333333333;
8310542;-33.54833333333333;-27.21166666666667;-21.881666666666668;
1380798;-57.81500000000001;-77.84666666666668;-69.42500000000001;
1869446;-52.39833333333333;-75.215;-72.40833333333333;
9586422;-53.36666666666666;-68.65166666666666;-117.45500000000001;
228571;-77.25833333333334;-104.80166666666668;-79.58333333333334;
6684137;-67.03833333333334;-48.010000000000005;-52.501666666666665;
1944817;-56.035000000000004;-79.26166666666667;-87.03833333333334;
368407;-80.94166666666666;-95.72;-113.575;
9302359;-71.325;-103.31500000000001;-105.78500000000001;
1770215;-103.74333333333334;-101.40333333333335;-103.08833333333334;
11535636;-62.800000000000004;-52.49000000000001;-88.63333333333334;
6438207;-48.54166666666667;-47.20666666666667;-50.21000000000001;
1350946;-76.36000000000001;-82.17333333333335;-73.93;
9816839;-22.220000000000002;-24.643333333333334;-21.235;
1350947;-32.67;-39.016666666666666;-40.123333333333335;
4325463;-19.53;-33.123333333333335;-15.500000000000004;
252224;-78.06500000000001;-503.5866666666667;-93.33666666666667;
11181066;-46.366666666666674;-53.24333333333334;-61.20833333333334;
4567799;-38.06166666666667;-35.075;-31.21166666666667;
1278675;-25.83166666666667;-36.52333333333333;-21.131666666666668;
1480517;-38.98166666666667;-21.886666666666667;-53.35333333333334;
4711769;-39.928333333333335;-58.718333333333334;-41.225;
2103487;-19.938333333333333;-23.506666666666668;-35.50833333333334;
1698737;-74.85000000000001;-83.55833333333335;-75.85333333333334;
9816840;-549.1166666666667;-96.80499999999999;-85.85999999999999;
1640999;-42.266666666666666;-45.74333333333334;-51.63333333333334;
5369267;-59.406666666666666;-89.875;-74.305;
12443;-71.32166666666666;-94.11333333333334;-80.2;
1766184;-49.505;-50.71;-46.59166666666667;
1350948;-24.913333333333338;-28.195000000000004;-27.973333333333336;
6442721;-38.36;-39.41666666666667;-43.23833333333333;
1988460;-71.43833333333335;-37.016666666666666;-43.43166666666667;
952659;-47.14333333333333;-50.54166666666667;-95.99833333333333;
7371654;-38.55500000000001;-57.99666666666667;-39.94666666666667;
4594;-35.21666666666667;-52.19666666666667;-41.315;
5986406;-85.355;-63.32666666666667;-78.09500000000001;
11823173;-56.03;-67.15833333333333;-61.89833333333333;
462027;-101.725;-68.83166666666668;-100.64166666666667;
